name,price
木里木器·木作DIY·团建手作,￥292
新趣班·DIY流麻·捏捏乐·流沙牌尺,￥110
Very cute怪可爱潮玩DIY手作·tufting·团建,￥208
UDOU优豆手作,￥61
Ms.Sue秘术工匠银饰DIY(正大广场店),￥278
Nook Art香水·香薰·奶油胶·多巴胺DIY(中山公园店),￥130
乐玩陶艺油画·Tufting·银饰(中山公园店),￥119
1的n次方手工编织工作室,￥215
鹿王兮·Tufting·多巴胺系列·手作集合店(第一百货店...,￥206
奇遇森林手工·烘焙·礼品·团建,￥107
Ms.Sue秘术工匠银饰DIY(人广来福士店),￥274
Ms.Sue秘术工匠银饰DIY(美罗城店),￥264
十亩心田DIY·应援扇·捏捏乐·团建定制,￥73
里尔手作·银饰·烧玻璃·Tufting团建(宝龙广场店),￥188
乐玩陶艺油画·银饰·团建(淮海路店),￥91
为了手作工作室,￥145
满庭芳·手作·团建派对定制DIY,￥175
悠时光DIY·银饰·Tufting打毛线·团建(环球港店),￥126
子曰·陶艺陶社(田子坊店),￥156
Ch2次方首饰艺术工作室(五角场店),￥126
Tufting毛线工坊(静安寺店),￥236
别处艺术·玻璃·陶艺·Tufting,￥208
Queen Wait 自然花园(环贸店),￥266
24/7DIY手作工作室,￥103
潮好玩DIY手作馆,￥109
魔法水晶DIY工作坊,￥180
奶油小熊DIY手作·奶油胶·绘画石膏·珍珠开蚌,￥50
宇宙出逃DIY手作·烘焙甜品·香薰蜡烛·奶油胶,￥117
燥星星Tufting毛线工坊·手作DIY·奶油胶,￥83
一克炼金室·银饰DIY専門店(人民广场店),￥167
留梨琉璃·灯工玻璃DIY工作室(环贸店),￥301
Ly Serendipity香薰蜡烛DIY·团建·礼品,￥135
橙蓝手作·银饰·调香·tufting团建,￥94
遇见·陶艺·团建(第一百货店),￥172
一间画室DIY手作店·Tufting,￥146
尊嘟熊RealBear自制玩偶,￥100
乐玩陶艺油画·银饰·流体熊·团建(徐家汇店),￥105
ScopeArts·手绘·DIY.艺术体验,￥205
XQ陶艺银饰玻璃DIY团建(爱琴海店),￥189
Perlart手作理想国·手工串珠·绕线·刺绣·首饰DIY,￥291
Try to do 奶油胶·流麻·DIY团建(莘庄店),￥75
优加手作青工坊·tufting·羊毛毡·团建(陆家嘴店),￥169
和猫咪一起玩皮·手工皮具团建,￥280
COOK&BOOK烘焙料理DIY体验·节日团建(芮欧百货店),￥314
夕·趣手作(满天星生活广场店),￥107
拾光里DIY工作室·珍珠开蚌·香水·团建定制(复旦店),￥138
Good猫泥·陶艺工作室,￥192
好好笑HaoHaoLaugh,￥73
趣玩YA手作DIY·团建策划(之俊大厦店),￥90
M.Y. Lab 木艺实验室(东风商务园区店),￥283
晌木时光·木工·银戒·TuftingDIY工作室,￥226
贝贝烘焙Diy蛋糕定制(松江万达店),￥82
陌冶手作·陶艺DIY·绘画·tufting打毛线·团建,￥164
無名室·DIY造物坊·团建·礼物,￥146
21手作DIY银饰·玉雕·编绳,￥134
安鲸造物·陶艺·玻璃银饰·香薰蜡烛(淮海中路店),￥222
Farden法布尔花园(蟠龙天地店),￥232
拾光里·手工DIY·团建派对定制·珍珠开蚌·香水(周浦...,￥164
如一工社·团建·DIY银饰·陶艺(松江大学城店),￥188
乐玩陶艺·油画·银饰·团建(世纪大道店),￥132
猛犸手作·皮具·diy团建·礼品定制(静安寺店),￥391
PUPU WORKSHOP噗噗手作·团建·tufting·肌理画,￥167
爱乐陶艺·油画·银饰团建(田子坊店),￥104
彼得潘手作·团建·手工diy工作室,￥129
YOUNG·S手作生活馆,￥148
玩玩蜡Candle Handle蜡烛•调香 工作室,￥235
纯白手作DIY·银饰·开蚌·团建,￥95
圆圈圈手作工作室(宝山万达店),￥107
VB金工制造局·珠宝定制·银饰DIY·情侣约会(大学路店...,￥301
Ch2次方首饰艺术工作室(静安寺店),￥243
旅猫日志·猫咖私人影院,￥104
超级妈妈BIG MAMA'S HOUSE,￥135
如一工社团建·DIY银饰·陶艺·tufting(徐汇天平路店),￥124
PUPA艺术空间,暂无价格
HOWOW D2Y(环球港店),￥290
玄工坊Tufting毛线·石膏彩绘·流体熊·团建,￥151
一杠商店·文创艺术T恤·定制DIY(中山公园龙之梦店),￥100
匠人阿瑶·银饰·陶艺·DIY手工活动团建(汇智广场店),￥174
Ms.Sue秘术工匠银饰DIY(瑞虹天地太阳宫店),￥278
PonPon朋朋烘焙DIY蛋糕团建,￥204
禾以文创·手作|礼品,￥257
Σ Age 銀世代·DIY银饰·串珠·情侣,￥165
碎银几两·手工DIY银饰(上海店),￥188
魔沪小森林DIY手作馆(青浦万达茂店),￥67
焙朵diy私房烘焙工作室(焙朵烘焙体验中心),￥77
艺+造物社工作室陶艺·银饰·开蚌diy团建活动,￥103
Thanks No Thanks·手工·团建·派对,￥192
大鸭DIY手工坊·团建·软陶·烘焙·八音盒·多肉,￥119
不正经造物社·陶艺·银饰·DIY团建,￥136
KS·炼金秘所·珠宝首饰·银饰DIY·定制·约会(上图店...,￥259
玖月初手作艺术生活馆(七宝宝龙店),￥184
趣玩DIY手作·陶艺·银饰·Tufting,￥107
做点什么艺术手作·银饰·团建,￥196
7's cake 烘焙DIY·团建活动(巨鹿路店),￥199
呆呆DIY银饰·陶艺·奶油胶·团建(松江大学城店),￥181
玩泥巴的人儿(巨鹿路店),￥156
Ms.Sue秘术工匠银饰DIY(长宁来福士店),￥269
鹿王兮·Tufting陶艺·团建集合店(五角场店),￥204
巧克巧蔻·巧克力博物馆,￥99
陶牧居·DIY手作·团建(嘉定新城店),￥157
山矾手作艺术工作室,￥300
悦己手作·石膏娃娃·奶油胶·拼豆,￥39
烬·烧玻璃diy灯工玻璃艺术工作室,￥262
Ms·Shen陶艺DIY STUDIO(滴水湖店),￥137
悦夏DIY·银饰·珍珠开蚌手工馆(人民广场店),￥66
As u Wish陶艺·油画达人馆(静安寺店),￥160
之楽•Zenlous(陕西南路店),￥236
me to two 作饰·团建·二次元·手作DIY(浦东天物店),￥188
新美藤科技艺术DIY工坊,￥32
33Days studio Tufting毛线·手工DIY团建,￥181
拾光屿你·tufting·银饰陶艺团建馆,￥59
作梦艺术工作室,￥67
釉子器味,￥117
大卫陶艺DIY·手工坊,￥143
森鱼工坊·千弗画室·首饰DIY银饰国画敦煌团建,￥168
值得甜点 Deserve Dessert,￥73
两支手作·礼品·团建(智翔路店),￥54
十万克拉DIY CLUB手工创意生活馆,￥124
恰好DIY手作·Tufting·银饰·捏捏乐(上海火车站店),￥132
231Two叁One艺术工坊·团建·tufting·肌理画(東西公...,￥240
C2C DIY烘焙工坊(武康路店),￥106
sodacsodac香氛工作室,￥297
厘尔女红屋·非遗DIY团建·手工刺绣布艺教学工作室,￥141
Lois Art(思南店),￥280
凸里凸外Tufting毛线·银饰·流体熊Diy,￥176
BARTENDER调酒教室,￥213
tufting毛线工作室(五角场店),￥154
me to two 作饰·团建·二次元·手作DIY(静安大悦城店...,￥190
蔷薇森林|油画·手作DIY·团建,￥140
朱小甜DIY烘焙店,暂无价格
DIY手工车间,￥68
213DIY工坊·tufting·银饰戒指·流体熊,￥156
知意工坊·DIY银饰·花丝镶嵌,暂无价格
杂念·手工皮具DIY,￥1040
艺甜一品DIY蛋糕·甜品茶歇 团建定制,￥188
RESTE STUDIO(淮海中华大厦店),￥156
乐玩陶艺·油画·银饰·团建(郭守敬路长泰广场店),￥114
木知木觉木工坊,￥128
Ok手作·银饰戒指DIY·陶艺集合店,￥179
Bunny cake.DIY烘焙馆(听潮南路店),￥217
恰好·银饰·Tufting·捏捏团建DIY(巨鹿路店),￥153
是良匠手工艺术(嘉善路店),￥156
珍得巧克力剧院,￥174
植物商店PLANT SHOP花艺工作室,￥208
叙室narratus 气味设计,￥515
不二陶社(静安大悦城店),￥222
Hello7银饰研习室(武康大楼店),￥208
匠人阿瑶银饰·陶艺·DIY手工活动团建(川沙店),￥152
Art Bro陶艺·油画工作室,￥162
乐好玩DIY蛋糕烘焙·团建·甜品台(徐家汇店),￥205
森林无限公司(瑞虹天地太阳宫店),暂无价格
十八字金·银饰·开蚌DIY·手作体验团建(静安大悦城店...,￥174
Enjoy Diy悦享手作(周浦万达店),￥193
AURORA BOREALIS极光自然工作室,￥345
原宇宙游戏部 ps5·switch·diy小屋(环球港店),￥92
造物司南美术陶艺手工体验馆(金铭福邸店),￥144
me to two 作饰·团建·二次元·手作DIY(环球港店),￥178
集雅GATHERING手作(乌鲁木齐中路店),￥621
捕梦人的后花园,￥187
Virid·翠·香薰蜡烛專門店,￥288
嘟嘟熊DIY·tufting·流体暴力熊(古方路店),￥272
喜乐制作所·烘焙·手作·DIY团建,￥140
简乐DIY陶艺·tufting·团建(徐汇店),￥111
易乐木艺DIY木工·琉璃·银饰(徐汇店),￥155
贤窑陶艺(青溪古镇店),￥99
Diy手工编织,￥79
皿陶手作空间·陶艺·团建·diy手工,￥134
夕·趣手作(曹路花园城店),￥55
不孤独的根号喵·撸猫·桌游·手工diy,￥76
万物想·银饰Tufting·公司团建(大悦城店),￥194
椿野·油画·陶艺·手作,￥127
艺空间-零基础DIY油画,￥172
可见光玻璃艺术工作室,￥1140
玖月初手作艺术生活馆(南方百联店),￥179
森活木趣Wooderful life(前滩太古里店),￥334
1319陶艺体验中心·银饰·珐琅·手工DIY团建活动(顾村...,￥88
iYoo爱油画·吧(静安大悦城店),￥194
VB金工制造局·珠宝首饰·银饰DIY·定制约会(百脑汇店...,￥281
AGFT·珐琅·马赛克灯·Tufting集合DIY团建(长宁店),￥179
AGFT·珐琅·马赛克灯·Tufting集合DIY团建(浦东店),￥217
DIY棋牌桌游馆(川沙绿地店),￥59
Glint手作工作室,￥128
夕·趣手作,￥100
祝余·古法香道diy·文化空间,暂无价格
费氏工坊,暂无价格
初见泥好·陶艺·珍珠开蚌·团建(嘉定印象城店),￥128
HeyJewel全球独立设计师原创首饰集合店,￥7750
私享家DIY蛋糕烘焙手作(大学路五角场店),￥180
三寸·银泥·银条·银饰DIY(南京路店),￥238
iCake  DIY蛋糕烘焙·团建,￥154
芸香堂熏风馆,￥170
我嘉文创馆·忆空间,￥128
友爱友人烘焙蛋糕DIY团建,￥179
壹陸捌捌手作甜品 ·1688 Handmade Patisserie,￥81
毛手毛脚 Tufting·流体暴力熊·手工DIY·团建(徐家汇...,￥252
Summer House夏莫手工坊团建活动(世博源店),￥188
此处禁止不开心·大猫小狗·撸猫·奶油胶DIY手作,￥125
Summer House夏莫手工坊团建活动(南京西路店),￥179
疗愈星球·专业芳香·颂钵解压放松,￥158
宋李·魔法手作工坊·串珠·潮玩爆改·奶油胶·团建(...,￥89
十八字金·开蚌·银饰DIY·手作体验团建(蟠龙天地店),￥182
上海市嘉定艺源非遗手工艺术传承中心,暂无价格
彩蛋DIY创意零基础绘画体验工作室(金山店),￥107
swag workshop手工银饰DIY工作室(华山路店),￥240
DayDream Studio 手创定制·团建生活馆(八佰伴店),￥190
合川艺术陶艺版画手作团建,￥145
No.24法式刺绣工坊,￥301
理查德的diy蛋糕烘焙花园,￥191
郑太太烘焙蛋糕DIY团建体验馆,￥173
魔鲸手工串珠·编绳,￥202
牵缘DIY巧克力工坊(庙前街店),￥76
饮见·威士忌调酒学院(瑞金二路店),暂无价格
一禾一念DIY手工·土耳其马赛克灯·创意手作团建集合,￥232
派π 烘培DIY,￥126
土人陶艺/蛋糕烘焙/手工乐园·团建(大学路店),￥160
手工编绳(百米香榭商业街店),￥79
趣味萌手工坊·DIY蛋糕·甜品·团建,￥188
一克炼金室·银饰DIY専門店(豫园店),￥133
初恋日记烘焙屋DIY蛋糕手工坊(浦东塘桥店),￥221
秋刀鱼模玩俱乐部,￥125
友趣FRIENDS ARTSPACE油画DIY(淮海路IAPM店),￥152
F studio·Tufting·毛线DIY工作室,￥238
本植花艺美学生活馆,￥98
4U蛋糕Diy烘焙(五角场大学路店),￥181
私享家DIY蛋糕烘焙手作(安亭店),￥237
BOTTLE植物创意生活馆(大悦城店),￥255
花细草手创,￥135
一克炼金室·银饰DIY専門店(静安寺店),￥153
汀柯香薰蜡艺·手工皂工作室,￥196
好好cafe,￥57
博学·奶油工坊·创意手作·团建生日会,￥122
爆米花手作·银饰·调香·tufting团建,暂无价格
不累龙猫公司,￥115
恩霓diy烘焙小镇(绿地翡翠店),暂无价格
锦煜珠宝DIY·珍珠手作(七宝宝龙城店),￥173
七点自造DIY烘焙(嘉定店),￥126
顽石小憩&乐土陶艺(锦秋新天地店),￥88
馍馍熊·团建·手作·DIY,￥149
提香FLORIST·花艺气球派对布置(黄浦店),￥219
半糖芝士·DIY蛋糕烘焙·团建(第一百货店),￥208
AGFT·调香·马赛克灯DIY·珐琅集合团建(黄浦店),￥144
老朱手工坊,暂无价格
无忧阁珍珠开蚌·银饰DIY·团建,￥141
懂小喵手工杂货铺,暂无价格
Bon Parfumeur·柏氛/知调调香室,￥387
囍甜·蛋糕·DIY(金山万达店),￥63
金生烘焙DIY蛋糕定制·团建活动·气球派对·策划布置(...,￥130
趣画趣陶艺术,￥134
观陶学堂·陶艺·团建·展览,￥140
半山手作陶瓷集合店,￥122
乐窑陶艺美创馆(浦东禹悦汇店),￥124
马莱传统弓道馆(淮海中路店),￥174
吾喜造物DIY手作坊,暂无价格
得丘礼享谷文创园,￥69
纸箱王瓦楞纸乐园(丽宝乐园店),￥65
黑镜·艺术疗愈室·油画香氛,￥160
SAYONE陶瓷手作店,￥266
鲤西西创意礼物·手作DIY,暂无价格
艺焙坊 Artyzen Bakery,￥78
味社厨艺烘焙培训中心 Tascovery,￥2190
爱创小屋剧本杀桌游DIY,暂无价格
Eric&Tina 巧克力解忧杂货铺,￥99
SANMUFLOWER三木花佃(恒生万鹂广场店),￥221
十八字金·银饰·开蚌DIY·手作体验团建(芮欧百货店),￥193
元祖梦世界,暂无价格
如果·追梦手工皮具DIY教学店·工作室空间(安亭新镇店...,￥961
喜加德·陶艺工坊,￥159
宇智艺术空间|tufting|玻璃|团建(武康大楼店),￥230
朵卯卯Peekaboo Flora,￥226
十八字金·开蚌·银饰手工DIY(博荟广场店),￥177
木棉花开创意工坊,暂无价格
三喵撸猫馆(古棕路店),￥27
ARTIST大艺术家零基础油画(黄浦店),￥155
Nomad 小院咖啡,￥47
去野,￥124
甜星cake·蛋糕DIY烘焙(文汇路店),￥25
浮生遇到你(上海长宁店),￥84
POPCAT泡泡喵美学馆,暂无价格
Bingo Mini进击的人类幼崽·沉浸式亲子戏剧乐园(上海...,￥213
玩真阁文玩手工编绳串珠(万达广场店),￥598
PROJECT ELEMENT创意沙龙香氛,￥346
龙锦结·道法手工编绳(嘉亭荟店),￥1452
森与田农园·都市隐农生活体验中心·菜园认领·亲子自...,￥98
悦卿嵩手工教室,￥20
陶艺|油画|手办才发现工作室,￥130
普天同秤民艺馆,￥207
Sweet Meet DIY永生花店(淮海路店),￥137
文会映·宋府,￥219
布土文创·SPACE,￥107
文山·手作甜汤,￥16
精灵部落·森林露营·亲子营地,￥271
星空画室 Star Studio,￥102
Ace Studio球拍服务工作室,￥168
3D-JP拼图(虹桥天地店),￥219
DIY棋牌桌游馆(川沙老街店),￥39
釉甜·蓝风车私房蛋糕·DIY(美谷美购店),￥73
绿山蔷 GREEN GABLE,￥210
禅光竹房茶舍(浦江革新村店),￥166
野沪茶事·DIY团建·下午茶·烘焙蛋糕,￥72
龙锦结·道法手工编绳(凯德闵行店),￥171
Ineffable Meeting(觅町手工烘焙),￥42
爱宠游乐园PawCity,￥221
萌太奇宠物天地(世博源店),￥118
MINI MARS KIDS CLUB亲子家庭中心(长宁天山店),￥323
田心农创市集,￥53
